,"@, username",liked post (0/1)
274,margosha.alekseeva,1
275,__pavlenka__,0
276,anpryamova,1
277,amirchup,1
278,steprockete,0
279,paulpalkine,0
280,dimasik_m,0
281,setmer.harli,1
282,dima_ulyanov77,0
283,mixazzzzzz,1
284,jooorik,1
285,lizabushueva,1
286,sall_daria,1
287,vsevolod.ulitko,1
288,serega_m21,0
289,aleksahasha,1
290,nataliamoroz,0
291,andruwkasup,0
292,olimpievaa,1
293,jenni.96,1
294,verbitskayav,0
295,e_yakimova,1
296,official_renat,1
297,buryakov,1
298,liana_popil,0
299,klevcovio07,0
300,nikolaev7,1
301,_____drv,0
302,david_pasternak,1
303,valerazld,0
304,anyachichkan,0
305,lizzapavlova,0
306,igorevich9,0
307,iziumovav,1
308,iamullyana,1
309,artemmikhaylov,0
310,mr.alexeevalex,0
311,stei.se,1
312,livoice,1
313,avg_420,0
314,ivan96s,0
315,anna_stolica,0
316,shelest_katya,1
317,netvoyboy,0
318,arkadiysorokin,1
319,alexandervoloshin,0
320,alekseevandrewww,1
321,mityakamee,1
322,hugzeh,1
323,theogllm,1
324,tusha11,1
325,lichni_arhiv,0
326,a.alexandrova,0
327,ptrochka,0
328,linanushtaeva,1
329,anita.huanita,1
330,v.svi,0
331,ilyaehov,0
332,karinaspoiled,0
333,shinkevich_art,1
334,den_pikhtin,0
335,alexandersarvarov,1
336,_lagutin_,0
337,den4ik_v_salat,1
338,moryak.hapay,0
339,yuryvoyt,0
340,govegaspravitmirom,1
341,enigma.s_,1
342,zakharovnikita,1
343,miss.masham,0
344,helenabychkova,1
345,polina_dovydenkova,0
346,11sxe11,0
347,citromon.juli,1
348,kullikovsky,0
349,leo1144,1
350,ars_ilt,0
351,mishamohov,1
352,unakatu,1
353,anechkasemenova,1
354,k.roletskaya,1
355,pavlik_junior,1
356,ro_here_u_know,0
357,kon.raw,1
358,makcibas,1
359,na_kontraste,1
360,evgbye,1
361,d_simonova,1
362,st.pirate,1
363,dn_421,0
364,khasanshin_tr,1
365,alaneznal,1
366,g_arkhipov,1
367,kazhemd,0
368,vygonartem97,0
369,x.taras.x,0
370,mashkass,1
371,shlyapking,1
372,vanyusha7,0
